Date/Time,CPU usage %,Temperature C
29/04/2020 17:28,11.9,53.7
29/04/2020 17:29,5.7,52.1
29/04/2020 17:29,33.5,56.9
29/04/2020 17:30,27.1,56.9
29/04/2020 17:31,25.8,58
29/04/2020 17:31,25.7,58
29/04/2020 17:32,25.6,58
29/04/2020 17:32,23.8,58
29/04/2020 17:33,27,59.1
29/04/2020 17:33,24.7,58.5
29/04/2020 17:34,23.8,58
29/04/2020 17:34,26.3,59.1
29/04/2020 17:35,23.9,58.5
29/04/2020 17:36,25.5,59.1
29/04/2020 17:36,25.6,59.1
29/04/2020 17:37,24.6,58.5
29/04/2020 17:37,26.9,58
29/04/2020 17:38,25.3,59.6
29/04/2020 17:38,25,58
29/04/2020 17:39,27.7,59.6
29/04/2020 17:39,23.1,59.1
29/04/2020 17:40,25.9,59.1
29/04/2020 17:40,25.8,58
29/04/2020 17:41,24.1,58.5
29/04/2020 17:42,25.5,58
29/04/2020 17:42,23.6,59.6
29/04/2020 17:43,25,58
29/04/2020 17:43,26.2,59.1
29/04/2020 17:44,24.2,58.5
29/04/2020 17:44,25.7,59.1
29/04/2020 17:45,24.5,58.5
29/04/2020 17:45,25.7,58.5
29/04/2020 17:46,24.7,58
29/04/2020 17:47,24.4,58.5
29/04/2020 17:47,26.2,59.1
29/04/2020 17:48,24.6,59.1
29/04/2020 17:48,23.7,58.5
29/04/2020 17:49,24.9,59.1
29/04/2020 17:49,24.3,60.7
29/04/2020 17:50,26.5,60.1
29/04/2020 17:50,24.4,59.1
29/04/2020 17:51,23.9,59.1
29/04/2020 17:51,25,59.1
29/04/2020 17:52,23.4,59.1
29/04/2020 17:53,24.9,58.5
29/04/2020 17:53,25,59.1
29/04/2020 17:54,27.4,59.1
29/04/2020 17:54,24.8,59.6
29/04/2020 17:55,23.1,59.1
29/04/2020 17:55,23.9,59.1
29/04/2020 17:56,24.5,59.1
29/04/2020 17:56,29.4,60.1
29/04/2020 17:57,28.8,60.1
29/04/2020 17:58,26.5,60.1
29/04/2020 17:58,23.4,59.1
29/04/2020 17:59,25.5,59.1
29/04/2020 17:59,23.5,58
29/04/2020 18:00,23.2,59.1
29/04/2020 18:00,25.4,58
29/04/2020 18:01,23.3,58.5
29/04/2020 18:01,25.3,58.5
29/04/2020 18:02,24.8,58.5
29/04/2020 18:02,24.4,59.1
29/04/2020 18:03,25,59.1
29/04/2020 18:04,25.1,58
29/04/2020 18:04,29.1,60.1
29/04/2020 18:05,24.1,59.1
29/04/2020 18:05,23.7,58.5
29/04/2020 18:06,24.9,58.5
29/04/2020 18:06,24.4,58
29/04/2020 18:07,26.5,59.1
29/04/2020 18:07,25,58
29/04/2020 18:08,23.2,58.5
29/04/2020 18:09,24.6,59.1
29/04/2020 18:09,23.7,59.1
29/04/2020 18:10,24.2,59.1
29/04/2020 18:10,24.4,58.5
29/04/2020 18:11,23.6,58.5
29/04/2020 18:11,24.9,58
29/04/2020 18:12,28.1,59.1
29/04/2020 18:12,24.4,58.5
29/04/2020 18:13,28.1,61.2
29/04/2020 18:13,26.4,59.1
29/04/2020 18:14,25.4,59.1
29/04/2020 18:15,24.7,58.5
29/04/2020 18:15,23.4,59.1
29/04/2020 18:16,24.4,58
29/04/2020 18:16,22.5,58.5
29/04/2020 18:17,24.1,58
29/04/2020 18:17,23.6,58
29/04/2020 18:18,24.6,58
29/04/2020 18:18,25.3,57.5
29/04/2020 18:19,23.9,58
29/04/2020 18:20,23.6,58
29/04/2020 18:20,24.7,58
29/04/2020 18:21,23.1,58
29/04/2020 18:21,25.7,58.5
29/04/2020 18:22,22.6,57.5
29/04/2020 18:22,23.6,58.5
29/04/2020 18:23,25.1,57.5
29/04/2020 18:23,29.2,60.1
29/04/2020 18:24,33.3,60.1
29/04/2020 18:24,27.8,60.7
29/04/2020 18:25,24.8,60.1
29/04/2020 18:26,31.3,61.2
29/04/2020 18:26,25.7,60.7
29/04/2020 18:27,27,60.1
29/04/2020 18:27,24.1,60.1
29/04/2020 18:28,23.6,60.1
29/04/2020 18:28,30.8,61.8
29/04/2020 18:29,29.1,61.2
29/04/2020 18:29,28.1,62.3
29/04/2020 18:30,34.1,64.5
29/04/2020 18:31,40.4,64.5
29/04/2020 18:31,33.5,63.4
29/04/2020 18:32,32.2,62.8
29/04/2020 18:32,31.4,62.3
29/04/2020 18:33,30.8,62.3
29/04/2020 18:33,31.3,62.3
29/04/2020 18:34,31.2,62.3
29/04/2020 18:34,30.1,62.3
29/04/2020 18:35,34.7,63.4
29/04/2020 18:35,26.6,61.8
29/04/2020 18:36,29.1,62.3
29/04/2020 18:37,27.3,61.2
29/04/2020 18:37,27.5,61.8
29/04/2020 18:38,28.3,61.2
29/04/2020 18:38,29.6,61.2
29/04/2020 18:39,27.9,61.2
29/04/2020 18:39,28.5,61.2
29/04/2020 18:40,26,61.2
29/04/2020 18:40,28.2,61.8
29/04/2020 18:41,26.7,60.7
29/04/2020 18:42,28.3,61.8
29/04/2020 18:42,28.5,61.2
29/04/2020 18:43,26.7,61.2
29/04/2020 18:43,28,61.2
29/04/2020 18:44,27.6,61.2
29/04/2020 18:44,26.3,61.2
29/04/2020 18:45,28.2,61.2
29/04/2020 18:45,27.1,61.2
29/04/2020 18:46,28,61.2
29/04/2020 18:46,28.4,61.2
29/04/2020 18:47,30.1,60.1
29/04/2020 18:48,23.4,63.4
29/04/2020 18:48,33.8,63.4
29/04/2020 18:49,30.8,62.8
29/04/2020 18:49,29.6,62.8
29/04/2020 18:50,29.9,62.8
29/04/2020 18:50,30.7,62.8
29/04/2020 18:51,29.9,62.8
29/04/2020 18:51,28.1,61.2
29/04/2020 18:52,38,63.4
29/04/2020 18:53,36.4,63.9
29/04/2020 18:53,34.3,63.4
29/04/2020 18:54,34,64.5
29/04/2020 18:54,31.2,64.5
29/04/2020 18:55,31.1,63.4
29/04/2020 18:55,30.8,62.8
29/04/2020 18:56,30.6,63.4
29/04/2020 18:56,35.7,65
29/04/2020 18:57,42.3,65
29/04/2020 18:57,18.9,62.3
29/04/2020 18:58,25.3,61.2
29/04/2020 18:59,22.6,61.2
29/04/2020 18:59,24.5,60.1
29/04/2020 19:00,24,60.1
29/04/2020 19:00,25.8,60.7
29/04/2020 19:01,25.4,60.1
29/04/2020 19:01,22.3,59.1
29/04/2020 19:02,25,59.1
29/04/2020 19:02,23.3,59.1
29/04/2020 19:03,24.4,59.6
29/04/2020 19:04,23.5,58.5
29/04/2020 19:04,21.8,59.1
29/04/2020 19:05,23.7,58
29/04/2020 19:05,23.5,59.1
29/04/2020 19:06,21.9,58.5
29/04/2020 19:06,25.2,59.1
29/04/2020 19:07,22,59.1
29/04/2020 19:07,24.6,59.1
29/04/2020 19:08,23.2,58
29/04/2020 19:08,22.1,59.1
29/04/2020 19:09,23.8,58
29/04/2020 19:10,25.2,58
29/04/2020 19:10,24.5,58.5
29/04/2020 19:11,24.2,58
29/04/2020 19:11,22.4,58
29/04/2020 19:12,23.7,58
29/04/2020 19:12,23.4,58
29/04/2020 19:13,31.4,60.1
29/04/2020 19:13,29.1,60.7
29/04/2020 19:14,38.7,60.7
29/04/2020 19:15,24,61.2
29/04/2020 19:15,24.7,59.1
29/04/2020 19:16,23.7,59.1
29/04/2020 19:16,28.2,59.1
29/04/2020 19:17,22.8,59.1
29/04/2020 19:17,24.3,59.1
29/04/2020 19:18,24.8,59.1
29/04/2020 19:18,23.1,59.1
29/04/2020 19:19,24,58.5
29/04/2020 19:19,25.1,58.5
29/04/2020 19:20,23.9,59.6
29/04/2020 19:21,25.1,58.5
29/04/2020 19:21,23.4,59.1
29/04/2020 19:22,25,59.1
29/04/2020 19:22,23.5,59.1
29/04/2020 19:23,24.5,58.5
29/04/2020 19:23,26.3,60.1
29/04/2020 19:24,23.9,58.5
29/04/2020 19:24,27.8,60.1
29/04/2020 19:25,24.3,58.5
29/04/2020 19:26,23.8,59.1
29/04/2020 19:26,26.1,58.5
29/04/2020 19:27,23.5,59.1
29/04/2020 19:27,24.6,59.1
29/04/2020 19:28,24.8,58.5
29/04/2020 19:28,22.7,58
29/04/2020 19:29,24.2,58
29/04/2020 19:29,24.6,58
29/04/2020 19:30,23.2,58
29/04/2020 19:30,24,58
29/04/2020 19:31,22.9,58
29/04/2020 19:32,23.3,58
29/04/2020 19:32,27.7,58.5
29/04/2020 19:33,24.6,58
29/04/2020 19:33,23.6,58
29/04/2020 19:34,24.2,58
29/04/2020 19:34,31.3,59.6
29/04/2020 19:35,24.3,59.1
29/04/2020 19:35,25.9,59.1
29/04/2020 19:36,28,60.7
29/04/2020 19:37,31.7,60.1
29/04/2020 19:37,18,50.5
29/04/2020 19:38,12,51
29/04/2020 19:38,43,56.4
29/04/2020 19:39,39.7,61.2
29/04/2020 19:39,64.1,65.5
29/04/2020 19:40,58.1,66.1
29/04/2020 19:40,59.3,68.8
29/04/2020 19:41,56.1,67.7
29/04/2020 19:41,51.4,68.2
29/04/2020 19:42,54.2,68.8
29/04/2020 19:43,49.2,65
29/04/2020 19:43,20.1,62.3
29/04/2020 19:44,9.1,56.9
29/04/2020 19:44,2.4,54.8
29/04/2020 19:45,2.6,53.7
29/04/2020 19:45,2.3,53.7
29/04/2020 19:46,2.9,52.6
29/04/2020 19:46,2.1,52.1
29/04/2020 19:47,2.5,51.5
29/04/2020 19:48,2.3,51.5
29/04/2020 19:48,2.9,51.5
29/04/2020 19:49,2.1,51
29/04/2020 19:49,2.7,51
29/04/2020 19:50,2.1,50.5
29/04/2020 19:50,3,49.9
29/04/2020 19:51,2.1,50.5
29/04/2020 19:51,2.7,50.5
29/04/2020 19:52,1.9,49.9
29/04/2020 19:52,2.7,50.5
29/04/2020 19:53,1.8,49.4
29/04/2020 19:54,2.6,49.9
29/04/2020 19:54,2.1,49.4
29/04/2020 19:55,2.5,49.4
29/04/2020 19:55,2.1,49.9
29/04/2020 19:56,2.5,49.4
29/04/2020 19:56,2.4,49.4
29/04/2020 19:57,2.3,49.4
29/04/2020 19:57,2.3,49.4
29/04/2020 19:58,2.3,49.4
29/04/2020 19:59,2.9,49.4
29/04/2020 19:59,2.3,49.4
29/04/2020 20:00,2.5,49.4
29/04/2020 20:00,2.5,49.4
29/04/2020 20:01,2.8,49.4
29/04/2020 20:01,2,49.4
29/04/2020 20:02,2.7,48.9
29/04/2020 20:02,1.9,48.9
29/04/2020 20:03,3,49.4
29/04/2020 20:03,2,48.3
29/04/2020 20:04,2.7,48.9
29/04/2020 20:05,2,48.3
29/04/2020 20:05,3.2,48.3
29/04/2020 20:06,1.8,48.3
29/04/2020 20:06,2.5,48.3
29/04/2020 20:07,2.4,48.3
29/04/2020 20:07,2.8,48.3
29/04/2020 20:08,1.8,47.2
29/04/2020 20:08,2.8,48.3
29/04/2020 20:09,2.6,47.8
29/04/2020 20:10,14.4,49.4
29/04/2020 20:10,9.5,49.4
29/04/2020 20:11,2.4,49.4
29/04/2020 20:11,2.5,48.9
29/04/2020 20:12,2.6,48.3
29/04/2020 20:12,3.2,49.4
29/04/2020 20:13,13.1,50.5
29/04/2020 20:13,5.5,50.5
29/04/2020 20:14,36.9,58.5
29/04/2020 20:14,33.4,58
29/04/2020 20:15,22.3,56.9
29/04/2020 20:16,12.8,52.6
29/04/2020 20:16,10.7,51.5
29/04/2020 20:17,7.1,50.5
29/04/2020 20:17,9.2,50.5
29/04/2020 20:18,8.6,50.5
29/04/2020 20:18,13.7,52.1
29/04/2020 20:19,14.2,53.2
29/04/2020 20:19,9.9,52.1
29/04/2020 20:20,9.8,51.5
29/04/2020 20:21,9.5,51
29/04/2020 20:21,9.8,51.5
29/04/2020 20:22,10.3,50.5
29/04/2020 20:22,9.2,50.5
29/04/2020 20:23,9.4,49.9
29/04/2020 20:23,10.2,51
29/04/2020 20:24,9.7,51
29/04/2020 20:24,15.6,51.5
29/04/2020 20:25,9.4,50.5
29/04/2020 20:25,6.2,49.9
29/04/2020 20:26,9.8,49.9
29/04/2020 20:27,7.8,49.9
29/04/2020 20:27,9.3,50.5
29/04/2020 20:28,9.2,49.9
29/04/2020 20:28,6.8,50.5
29/04/2020 20:29,9.7,50.5
29/04/2020 20:29,8.9,50.5
29/04/2020 20:30,9.1,49.9
29/04/2020 20:30,11.1,50.5
29/04/2020 20:31,7.8,50.5
29/04/2020 20:32,9.4,50.5
29/04/2020 20:32,9,50.5
29/04/2020 20:33,6.7,49.9
29/04/2020 20:33,9.6,49.4
29/04/2020 20:34,8.1,49.9
29/04/2020 20:34,8,49.9
29/04/2020 20:35,16.1,50.5
29/04/2020 20:35,9.6,50.5
29/04/2020 20:36,9.4,50.5
29/04/2020 20:36,8.8,49.9
29/04/2020 20:37,7.4,49.9
29/04/2020 20:38,10,50.5
